categories/folders,Item Code,pic File name,Description,"oz., lb., gram, kg",Pieces Per Case,Price,Price Per Piece,Kashrut
Dried_Fruits,DATE011,DATE011.jpg,Lior Medjool Dates 16/400 gr,400 grm,16,79.20,$4.95,
Dried_Fruits,DATE02,DATE011.jpg,Lior Medjul Premi Dates 12/2 lb,2 lb,12,165.60,$13.80,
Dried_Fruits,MANG00,MANG00.jpg,Mango Slices 44lb,,44,116.60,$2.65,
Dried_Fruits,DATE00041,DATE00041.jpg,Medjo Classic Dates Large 11lb,11 lb,11,40.00,$3.64,
Dried_Fruits,DATE01,DATE00041.jpg,Medjool Dates Jumbo Red Box 11 lb,11 lb,11,54.00,$4.91,
Dried_Fruits,APR0012,APR0012.jpg,ORGANIC Turkish Apricots  /28lb,28 lb,28,133.00,$4.75,
Dried_Fruits,PAP01,PAP01.jpg,Papaya Spears 44lb,,44,80.00,$1.82,
Dried_Fruits,PAP010,PAP01.jpg,Papaya Spears Natural - No Sugar 44lb,,44,185.00,$4.20,
Dried_Fruits,PINE01,PAP01.jpg,Pineapple Rings 44lbs,,44,115.00,$2.61,
Dried_Fruits,PINE010,PAP01.jpg,Pineapple Rings Natural - No Sugar 44lbs,,44,245.00,$5.57,
Dried_Fruits,PINE00,PAP01.jpg,Pineapple Tidbits Thailand 44lb,,44,110.00,$2.50,
Dried_Fruits,PRUNES0101,PRUN0001.jpg,Pitted Prunes 30/40 22lb,,22,62.70,$2.85,
Dried_Fruits,PRUNES010,PRUN0001.jpg,Pitted Prunes 40/50  22lb,,22,64.90,$2.95,
Dried_Fruits,RAI03,RAI01.jpg,South African Golden Raisin 30lb,,30,67.50,$2.25,
Dried_Fruits,APR01,APR01.jpg,Turkish Apricot #1 /28Lbs,28 lb,28,119.00,$4.25,
Dried_Fruits,APR011,APRICOT.jpg,Turkish Apricot #2 /28lb,28 lb,28,98.00,$3.50,
Dried_Fruits,APRICOT0,APRICOT.jpg,Turkish Apricot #3 /28lb,28 lb,28,98.00,$3.50,
Dried_Fruits,APRICOT,APRICOT.jpg,Turkish Apricot #4 /28lb,28 lb,28,98.00,$3.50,
Dried_Fruits,FIG01,,Turkish Figs (Sun dry) 48/8 oz,8 oz,48,46.50,$0.97,
Dried_Fruits,FIGS,,Turkish Natural Figs 22 lb,22 lb,22,70.00,$3.18,
Dried_Fruits,ZER02,,Zereshk Barbari 8.8lbs,,,125.00,#DIV/0!,
Honey,HONE0070,HONE0070.jpg,Gunter's Acacia Honey 12/16 oz,16 oz,12,51.00,$4.25,
Honey,HONE0071,HONE0071.jpg,Gunter's Acacia Honey 12/32 oz,32 oz,12,100.00,$8.33,
Honey,HONE0060,HONE0060.jpg,Gunter's Alfalfa Honey 12/16oz,16 oz,12,45.00,$3.75,
Honey,HONE0061,HONE0061.jpg,Gunter's Alfalfa Honey 12/32 oz,32 oz,12,76.00,$6.33,
Honey,HONE0076,HONE0076.jpg,Gunter's Avocado Honey 12/16oz,16 oz,12,45.00,$3.75,
Honey,HONE0074,HONE0074.jpg,Gunter's Blueberry Honey 12/16oz,16 oz,12,42.00,$3.50,
Honey,HONE0034,HONE0034.jpg,Gunter's Buckwheat Honey 12/16 oz,16 oz,12,45.00,$3.75,
Honey,HONE0035,HONE0035.jpg,Gunter's Buckwheat Honey 12/32 oz,32 oz,12,76.00,$6.33,
Honey,HONE0038,HONE0038.jpg,Gunter's Buckwheat Honey 6/5 lb,5 lb,6,85.00,$14.17,
Honey,HONE0033,HONE0033.jpg,Gunter's Clover Honey 12/16 oz,16 oz,12,44.00,$3.67,
Honey,HONE0036,HONE0036.jpg,Gunter's Clover Honey 12/32 oz,32 oz,12,74.00,$6.17,
Honey,HONE0040,HONE0040.jpg,Gunter's Clover Honey 12/44 oz,44 oz,12,108.00,$9.00,
Honey,HONE00321,HONE00321.jpg,Gunter's Clover Honey 24/8oz,8 oz,24,48.00,$2.00,
Honey,HONE0037,HONE0037.jpg,Gunter's Clover Honey 6/5 lb,5 lb,6,85.00,$14.17,
Honey,HONE0032,HONE0032.jpg,Gunter's Comb Honey 12/16 oz,16 oz,12,84.00,$7.00,
Honey,HONE0030,HONE0030.jpg,Gunter's Comb Honey 12/22 oz,22 oz,12,57.00,$4.75,
Honey,HONE008,HONE008.jpg,Gunter's Creamed Honey 12/16 oz,16 oz,12,60.00,$5.00,
Honey,HONE009,HONE009.jpg,Gunter's Creamed Honey 12/2.5 lb,2.5 lb,12,99.00,$8.25,
Honey,HONE0072,HONE0072.jpg,Gunter's Eucalyptus Honey 12/16oz,16 oz,12,45.00,$3.75,
Honey,HONE0047,HONE0047.jpg,Gunter's Golden Honey 12/16oz,16 oz,12,44.00,$3.67,
Honey,HONE0046,HONE0046.jpg,Gunter's Golden Honey 12/32oz,32 oz,12,74.00,$6.17,
Honey,HONE00373,HONE00373.jpg,Gunter's Golden Honey 6/5 lb,5 lb,6,83.00,$13.83,
Honey,HONE0039,HONE0039.jpg,Gunter's Honey Bears 12/12oz,12 oz,12,33.00,$2.75,
Honey,HONE0044,HONE0044.jpg,Gunter's Orange Blossom Honey 12/16oz,16 oz,12,45.00,$3.75,
Honey,HONE0045,HONE0045.jpg,Gunter's Orange Honey 12/32oz,32 oz,12,76.00,$6.33,
Honey,HONE00372,HONE00372.jpg,Gunter's Orange Honey 6/5 lb,5 lb,6,85.00,$14.17,
Honey,HONE00391,,Gunter's Shipper Honey Bears 48/12oz,12 oz,48,128.00,$2.67,
Honey,HONE00371,HONE00371.jpg,Gunter's Wild Flower Honey 6/5 lb,5 lb,6,85.00,$14.17,
Honey,HONE0050,HONE0050.jpg,Gunter's Wildflower Honey 12/16 oz,16 oz,12,44.00,$3.67,
Honey,HONE0051,HONE0051.jpg,Gunter's Wildflower Honey 12/32 oz,32 oz,12,74.00,$6.17,
Honey,HONE021,,Honey  Cream  12/2.5 lb( HB),2.5 lb,12,120.00,$10.00,
Honey,HONE020,,Honey  Cream Honey 12/16 lb(HB),16 lb,12,69.00,$5.75,
Honey,HONE02,,Honey  Cream Honey 6/5 lb(HB),5 lb,6,105.00,$17.50,
Honey,HONE03,,Honey  SQ. Comb  12/10 oz (HB),10 oz,12,132.00,$11.00,
Honey,HONE051,,Honey Blueberry 12/16 oz (HB),16 oz,12,54.00,$4.50,
Honey,HONE061,,Honey Clover 6/5lb Plastic (HB),5 lb,6,99.00,$16.50,
Honey,HONE05,,Honey Clover12/16 oz (HB),16 oz,12,45.00,$3.75,
Honey,HONE06,,Honey Clover12/32 oz (HB),32 oz,12,80.00,$6.67,
Honey,HONE04,,Honey Comb  12/16 oz (HB),16 oz,12,72.00,$6.00,
Honey,HONE08,,Honey Honey W/Comb  9/38.8 oz (Pyramid),38.8 oz,9,108.00,$12.00,
Honey,HONE07,,Honey SQ. Comb  18/14 oz (Pyramid),14 oz,18,85.50,$4.75,
Honey,HONE09,,Honey w/Comb 12/22 oz (Pyramid),22 oz,12,84.00,$7.00,
Honey,HONE011,,Kayla's ORGANIC Raw Honey 12/16 oz (HB),16 oz,12,61.00,$5.08,
Honey,HONE0109,HONE0109.png,Langnese Acacia Honey  5/13.13oz,13.13 oz,5,37.20,$7.44,
Honey,HONE0105,HONE0105.png,Langnese Country Honey Creamy 10/17.6oz,17.6 oz,10,62.25,$6.23,
Honey,HONE01091,HONE01091.jpg,Langnese Forest Honey  5/13.13oz,13.13 oz,5,37.20,$7.44,
Honey,HONE0103,HONE0103.png,Langnese Summer Flowers Honey10/17.6,17.6 oz,10,62.25,$6.23,
Honey,HONE0102,HONE0102.jpg,Leatherwood Australian Honey 12/17.5oz,17.5 oz,12,111.00,$9.25,
Honey,HONE0007,HONE0007.jpg,McLure's Buckwheat  (squeeze)  Honey 12/16 oz,16 oz,12,57.00,$4.75,
Honey,HONE0001,HONE0001.jpg,McLure's Clover Honey (squeeze)12/16 oz,16 oz,12,57.00,$4.75,
Honey,HONE0002,HONE0002.jpg,McLure's Clover Honey 12/2.5 lb,2.5 lb,12,144.00,$12.00,
Honey,HONE0003,HONE0003.jpg,McLure's Clover Honey 6/5 lb,5 lb,6,140.00,$23.33,
Honey,HONE0020,HONE0020.jpg,McLure's Clover Honey Bears 12/12 oz,12 oz,12,42.00,$3.50,
Honey,HONE0013,HONE0013.jpg,McLure's Cranberry Honey 12/16 oz,16 oz,12,57.00,$4.75,
Honey,HONE0022,HONE0022.jpg,McLure's Cranberry Honey Bears 12/12 oz,12 oz,12,42.00,$3.50,
Honey,HONE0004,HONE0004.jpg,McLure's Creamed Honey 12/16 oz,16 oz,12,64.00,$5.33,
Honey,HONE0005,HONE0005.gif,McLure's Creamed Honey 12/2.5 lb,2.5 lb,12,144.00,$12.00,
Honey,HONE0006,HONE0006.jpg,McLure's Creamed Honey 6/5 lb,5 lb,6,140.00,$23.33,
Honey,HONE0008,HONE0008.jpg,McLure's Orange Blossom (squeeze) Honey 12/16 oz,16 oz,12,57.00,$4.75,
Honey,HONE0011,HONE0011.jpg,McLure's Raspberry Honey 12/16 oz,16 oz,12,57.00,$4.75,
Honey,HONE0010,HONE0010.jpg,McLure's Wildflower (squeeze) Honey 12/16 oz,16 oz,12,57.00,$4.75,
Honey,HON05,HON05.jpg,Moorland Canadian Styl. Honey 12/2.5 lb,2.5 lb,12,148.00,$12.33,
Honey,HON02,HON02.jpg,Moorland Canadian Style Honey 12/16 oz,16 oz,12,64.00,$5.33,
Honey,HONE0026,HONE0026.jpg,Moorland's Honey in the Rough 12/16oz,16 oz,12,86.00,$7.17,
Honey,HONE24,HONE24.jpg,Mountains Alfalfa Honey 12/16oz,16 oz,12,49.00,$4.08,
Honey,HONE22,HONE22.jpg,Mountains Buckwheat Honey 12/16oz,16 oz,12,49.00,$4.08,
Honey,HONE20,HONE20.jpg,Mountains Clover Honey 12/16oz,16 oz,12,45.00,$3.75,
Honey,HONE25,HONE25.jpg,Mountains Golden Honey 12/16oz,16 oz,12,45.00,$3.75,
Honey,HONE21,HONE21.jpg,Mountains Orange Blossom Honey 12/16oz,16 oz,12,49.00,$4.08,
Honey,HONE23,Mountains Wild Flower Honey 12/16o.jpg,Mountains Wild Flower Honey 12/16oz,16 oz,12,45.00,$3.75,
Honey,HON006,HON006.jpg,Shibolet's Clover Honey 12/16 oz,16 oz,12,44.00,$3.67,
Honey,HON007,HON007.jpg,Shibolet's Clover Honey 12/32 oz,32 oz,12,74.00,$6.17,
Honey,HON008,HON008.jpg,Shibolet's Clover Honey 12/44 oz,44 oz,6,105.00,$17.50,
Honey,HON009,HON009.jpg,Shibolet's Clover Honey 6/5 lb,5 lb,12,81.00,$6.75,
Honey,HON80,,Taste of Life Wildflower Honey 12/500gr,500 grm,12,37.50,$3.13,
Honey,HON64,,Top Alfalfa Honey 12/16 oz,16 oz,12,44.00,$3.67,
Honey,HON63,,Top Buckwheat Honey 12/16 oz,16 oz,12,45.00,$3.75,
Honey,HON30,HON30.jpg,Top Clover Honey 12/16 oz,16 oz,12,44.00,$3.67,
Honey,HON35,HON35.jpg,Top Clover Honey 12/32 oz,32 oz,6,74.00,$12.33,
Honey,HON40,HON40.jpg,Top Clover Honey 6/5 lb,5 lb,12,85.00,$7.08,
Honey,HON50,HON50.jpg,Top Creamed Honey 12/16 oz,16 oz,12,60.00,$5.00,
Honey,HON61,,Top Golden Honey 12/16 oz,16 oz,12,44.00,$3.67,
Honey,HON62,,Top Orange Honey 12/16 oz,16 oz,12,45.00,$3.75,
Honey,HON60,,Top Wildflower Honey 12/16 oz,16 oz,12,44.00,$3.67,
Nuts,ALMO0002,ALMO00021.JPG,Almonds  RST/UNS  25lb,25 lb,25,148.75,$5.95,
Nuts,NUT02,NUT02.jpg,Brazilian Nuts 44lb,,44,342.00,$7.77,
Nuts,WALN0,WALN0.jpg,Calbest Walnuts light halves & pieces /25 lb,,25,110.00,$4.40,
Nuts,WALN000,WALN000.jpg,Calbest Walnuts light halves/22lb,,22,110.00,$5.00,
Nuts,ALMO0022,ALMO0022.jpg,California Pistachio RST/S 21-25 25lb,25 lb,25,175.00,$7.00,
Nuts,ALMO00220,ALMO00220.jpg,California Pistachio RST/UNS 21-25 25lb,25 lb,25,175.00,$7.00,
Nuts,CASH052,CASH052.jpg,Cashews  W240  R/NS / 25 lb,25 lb,25,168.75,$6.75,
Nuts,CASH053,CASH053.jpg,Cashews  W240  R/S / 25 lb,25 lb,25,0.00,$0.00,
Nuts,CASH061,CASH061.jpg,Cashews Jumbo Row  LW2/25lb,25 lb,25,175.00,$7.00,
Nuts,CASH02,CASH02.jpg,Cashews Roasted Unsalted 25lb,25 lb,25,175.00,$7.00,
Nuts,WALN0003,WALN000.jpg,Crain Walnuts light halves 95% Red Box 20lb,,20,105.00,$5.25,
Nuts,NUT01,NUT01.jpg,Dry Mix Nuts 25lb,,25,148.50,$5.94,
Nuts,PEC01,,Fancy Pecan Halves 30lb,,30,265.00,$8.83,
Nuts,WALN0004,WALN000.jpg,Grower Direct Walnuts light halves /22 lb,,22,150.70,$6.85,
Nuts,ALM00211,ALM00211.jpg,Raw  Large Hazelnuts 25 lb (13/15),25 lb ,25,181.25,$7.25,
Nuts,ALMO000111,ALMO00011.jpg,Raw Almonds 20-22 25 lb,25 lb,25,162.50,$6.50,
Nuts,ALMO00012,ALMO00011.jpg,Raw Almonds 23-25  50 lb,50 lb,50,230.00,$4.60,
Nuts,ALMO00011,ALMO00011.jpg,Raw Almonds 50 lb,50 lb,50,325.00,$6.50,
Nuts,CASH03,CASH03.jpg,Raw Cashews W240/ 50lb,50 lb,50,256.00,$5.12,
Nuts,ALM00212,Raw Hazelnuts.jpg,Raw Hazelnuts Giant 25lb (OREGON),25 lb ,25,212.50,$8.50,
Nuts,ALM00213,Raw Hazelnuts.jpg,Raw Hazelnuts Turkish Natural 55.12Lb,12 lb ,55.12,358.00,$6.49,
Nuts,ALMO00021,ALMO00021.JPG,Roasted Salted Almonds -25 lb,25 lb,25,156.25,$6.25,
Nuts,PIS22,PIS22.jpg,Turkish Pistachio Roasted Salted 22.05 lb,,22.05,154.00,$6.98,
Nuts,ALMO00232,ALMO00220.jpg,Turkish Pistachio Rosted Salted 22.05 lb,0.5 lb,22.05,154.00,$6.98,
Nuts,ALM00210,,Turkish Raw Hazelnuts 25 lb,25 lb,25,162.50,$6.50,
Oil,OIL0801,OIL0801.jpg,Casa Di Oliva  Extra Virgin Olive Oil 12/25.5 oz(Passover),,12,66.00,$5.50,
Oil,OIL08006,OIL080041.jpg,Casa Di Oliva Avocado Oil 12/17 oz (dark green),,12,69.00,$5.75,
Oil,OIL080041,OIL080041.jpg,Casa Di Oliva Avocado Oil 12/17 oz (Glass),,12,69.00,$5.75,
Oil,OIL11,OIL11.jpg,Casa Di Oliva Extra Virgin Olive Oil 12/34 oz,,12,82.50,$6.88,
Oil,OIL13,OIL13.jpg,Casa Di Oliva Grapeseed Oil GLASS 12/34oz,,12,60.00,$5.00,
Oil,GRA002,GRA002.jpg,Grapola  Grape Seed oil 6/3liter,3 liter,6,75.00,$12.50,
Oil,GRA001,GRA001.jpg,Grapola  Grape Seed oil 8/2liter,2 liter,8,70.00,$8.75,
Oil,GRA00,GRA00.jpg,Grapola Grape Seed Oil 12/1liter,1 liter,12,54.00,$4.50,
Oil,OIL08,OIL08.jpg,Palermo  Extra Virgin Olive Oil 6/1 Liter,,6,41.25,$6.88,
Oil,OIL08004,OIL08004.jpg,Palermo Avocado Oil 12/17 oz(dark green),,12,69.00,$5.75,
Oil,OIL08001,OIL08001.jpg,Palermo Blend Oil 6/34oz (80% Canola 20 % Ex Vg Olive),,6,21.50,$3.58,
Oil,OIL080,OIL080.jpg,Palermo Ext Vrg Olive 12/17 oz(Passover) 500ml,,12,45.00,$3.75,
Oil,OIL08003,OIL08003.jpg,Palermo Extra Virgin Olive Oil 12/25.5 oz(Passover),,12,67.50,$5.63,
Oil,OIL08002,OIL08002.jpg,Palermo Grapeseed Oil (glass) 6/34oz,,6,30.00,$5.00,
Oil,OIL08005,Palermo Olive Oil 80% Sunflower 20% EVOO 4/3 Liter.jpg,Palermo Olive Oil 80% Sunflower 20% EVOO 4/3 Liter,,4,40.00,$10.00,
Osem Items,BIS02,BIS02.jpg,Bissli BBQ 24/2.5 oz,2.5 oz,24,20.40,$0.85,
Osem Items,BIS01,BIS01.jpg,Bissli Falafel 24/2.5 oz,2.5 oz,24,20.40,$0.85,
Osem Items,BIS03,BIS03.jpg,Bissli Onion 24/2.5 oz,2.5 oz,24,20.40,$0.85,
Osem Items,BIS05,BIS05.jpg,Bissli Pizza 24/2.5 oz,2.5 oz,24,20.40,$0.85,
Osem Items,BIS07,BIS07.jpg,Bissli Remix 24/2.5 oz,2.5 oz,24,20.40,$0.85,
Osem Items,BIS04,BIS04.jpg,Bissli Smokey 24/2.5 oz,2.5 oz,24,20.40,$0.85,
Osem Items,BIS06,BIS06.jpg,Bissli Taco 24/2.5 oz,2.5 oz,24,20.40,$0.85,
Osem Items,OSEM011,OSEM011.jpg,Isr.Osem Consomme Chicken Soup 12/400g,,12,66.00,$5.50,
Osem Items,OSEM013,OSEM013.jpg,Isr.Osem Consomme Natural No MSG 6/ 8.8oz,,6,22.50,$3.75,
Osem Items,OSEM02,OSEM02.jpeg,Israeli Osem Soup Beef 12/400 gr,,12,62.00,$5.17,
Osem Items,OSEM04,OSEM04.jpg,Israeli Osem Soup Mushroom 12/400 grKFP,,12,66.00,$5.50,
Osem Items,OSEM06,OSEM06.jpg,Israeli Osem Soup Onions 12/400 gr KFP,,12,66.00,$5.50,
Osem Items,OSEM061,OSEM06.jpg,Israeli Osem Soup Onions(All Natural) 6/220 gr,,6,29.00,$4.83,
Osem Items,OSEM03,OSEM03.jpg,Israeli Osem Soup Vegetable 12/400 gr-KFP,,12,66.00,$5.50,
Osem Items,BAMB01,BAMB01.jpg,Osem Bamba 24/1oz,1 oz,24,18.00,$0.75,
Osem Items,BAMB031,BAMB031.jpg,Osem Bamba Large 12/3.5oz,3.5 oz,12,27.00,$2.25,
Osem Items,CROU06,Osem Med Crouton 8/ 5.25oz.jpg,Osem Caesar Crouton 8/ 5.25oz,5.25 oz,8,15.30,$1.91,
Osem Items,PUD02,PUD02.jpg,Osem Chocolate Pudding 24/3.3oz,,24,17.90,$0.75,
Osem Items,OSEM071,OSEM071.jpg,Osem Consomme Soup in BULK 5/2.2LB,,5,45.00,$9.00,
Osem Items,MAND05,MAND05.jpeg,Osem Crouton soup Mandle 12/14.1 oz,,12,41.50,$3.46,
Osem Items,OSEM23,,Osem Family Vegetable Soup 24/ 3.5 oz,,24,32.40,$1.35,
Osem Items,OSEM274,,Osem Heat & Serve Casseroles Couscous & Vegetables 12/4.9oz,,12,26.40,$2.20,
Osem Items,OSEM275,,Osem Heat & Serve Casseroles Israeli Toasted Couscous & Vegetables 12/4.6oz,,12,26.40,$2.20,
Osem Items,COUS02,COUS02.jpg,Osem Is. Couscous Canister Jar 4/21oz,21 oz,4,23.50,$5.88,
Osem Items,CRUM02,Osem Plain Bread Crumbs 12/15 oz.jpg,Osem Italian Seasoned Bread Crumbs 12/15 oz,15 oz,12,42.00,$3.50,
Osem Items,CROU03,Osem Med Crouton 8/ 5.25oz.jpg,Osem Med Crouton Herbs 8/ 5.25oz,5.25 oz,8,15.30,$1.91,
Osem Items,CROU02,CROU02.jpg,Osem Med Crouton Onion/Garlic 8/ 5.25oz,5.25 oz,8,15.30,$1.91,
Osem Items,CROU04,Osem Med Crouton 8/ 5.25oz.jpg,Osem Med Crouton Paprika/Garlic 8/ 5.25oz,5.25 oz,8,18.00,$2.25,
Osem Items,COUS061,,Osem North African Couscous [BAG] 12/12oz,12 oz,12,19.80,$1.65,
Osem Items,COUS06,,Osem North African Couscous Box 12/12oz,12 oz,12,23.00,$1.92,
Osem Items,CRUM01,CRUM01.jpg,Osem Plain Bread Crumbs 12/15 oz,15 oz,812,40.00,$0.05,
Osem Items,CRUM03,Osem Plain Bread Crumbs 12/15 oz.jpg,Osem Sesame Bread Crumbs 12/15 oz,15 oz,12,46.00,$3.83,
Osem Items,COUS031,COUS031.jpg,Osem Toasted Couscous 12/8.8oz -BOX,8.8 oz,12,26.00,$2.17,
Osem Items,COUS03,COUS03.jpg,"Osem Toasted Couscous 24/8.8oz BAG

 
",8.8 oz,24,29.00,$1.21,
Osem Items,CROU07,CROU07.jpg,Osem Tri-Color Crouton 8/ 5.25oz,5.25 oz,8,15.30,$1.91,
Osem Items,PUD03,PUD03.jpg,Osem Vanilla Pudding 12/2.8oz,,12,17.90,$1.49,
Passover,MATZ03,,Egg Matzot Passover 12/10.5oz,,12,47.40,$3.95,
Passover,MATZ012,MATZ012.jpg,Galil Chocolate Coated Matzot 12/7 oz,,12,36.00,$3.00,
Passover,MATZ013,MATZ013.jpg,Galil Matzah Egg 24/10.5,,24,68.00,$2.83,
Passover,MATZ011,MATZ011.jpg,Galil Pass.Matzas Meal 30/450gr,,30,56.00,$1.87,
Passover,MATZ01,MATZ01.jpg,Galil Pass.Matzot 6/5/16oz,,6,52.00,$8.67,
Passover,MATZ010,,Galil Pass.Whole Wheat Matzot 6/5/16oz,,,56.00,#DIV/0!,
Passover,MATZ04,MATZ04.jpg,Osem Chocolate Coated Matzot 12/7 oz,,12,60.00,$5.00,
Passover,MATZ111,MATZ111.jpg,Osem Matza Ball Mix 12/5oz-PASS,,12,14.00,$1.17,
Passover,MATZ10,MATZ10.jpg,Osem Matza Meal 12/16oz,,12,58.50,$4.88,
Pasta_Rice_Couscous,COUS17,,Casablanca Meal 7 Vegetable Couscous 12/21.2 oz,21.2 oz,12,28.20,$2.35,
Pasta_Rice_Couscous,COUS19,COUS19.jpg,Casablanca Meal Tabouli Couscous 12/21.2 oz,21.2 oz,12,28.20,$2.35,
Pasta_Rice_Couscous,COUS18,COUS18.jpg,Casablanca Meal Vegetable/Olives Couscous 12/21.2 oz,21.2 oz,12,28.20,$2.35,
Pasta_Rice_Couscous,COUS15,COUS15.jpg,Casablanca Mediterranean Couscous 12/8 oz(blue),8 oz,12,21.00,$1.75,
Pasta_Rice_Couscous,COUS10,COUS10.jpg,Casablanca Medium (Plain) Couscous12/12 oz,12 oz,12,21.00,$1.75,
Pasta_Rice_Couscous,COUS14,COUS14.jpg,Casablanca Pilaf & Veg. Couscous12/8 oz,8 oz,12,21.00,$1.75,
Pasta_Rice_Couscous,COUS12,COUS12.jpg,Casablanca R/S Garlic & Olive Oil Couscous12/8oz,8 oz,12,21.00,$1.75,
Pasta_Rice_Couscous,COUS13,COUS13.jpg,Casablanca Spinach & Tomato Couscous 12/8 oz,8 oz,12,21.00,$1.75,
Pasta_Rice_Couscous,COUS16,COUS16.jpg,Casablanca Tabouli (Medit.Salad)Couscous 12/8 oz,8 oz,12,21.00,$1.75,
Pasta_Rice_Couscous,COUS11,COUS11.jpg,Casablanca Whole Wheat Couscous12/12 oz,12 oz,12,21.00,$1.75,
Pasta_Rice_Couscous,AF031,AF031.jpg,Kokaho Rice Yellow 15 lba,15 lb,1,10.50,10.50,
Pasta_Rice_Couscous,AF001,AF001.jpg,Pari Basmati Rice 10 lb,10 lb,1 bag,10.50,10.50,
Pasta_Rice_Couscous,AF01,AF01.jpg,Royal Basmati  White Rice 10 lb,10 lb,1 bag,11.75,11.75,
Pasta_Rice_Couscous,AF0101,AF0101.jpg,Royal Basmati Brown  Rice JAR 4X2 lb,2 lb,4,20.00,5.00,
Pasta_Rice_Couscous,AF0102,AF0102.jpg,Royal Basmati White  Rice JAR 4X2 lb,2 lb,4,20.00,5.00,
Pasta_Rice_Couscous,AF0104,AF0104.jpg,Royal Jasmine Brown  Rice JAR 4X2 lb,2 lb,4,20.00,5.00,
Pasta_Rice_Couscous,AF0103,AF0103.jpg,Royal Jasmine White  Rice JAR 4X2 lb,2 lb,4,20.00,5.00,
